id,cluster
001ec8f4d2679f2899a63e4b2597c0a10bd9393f,5
00327390bfd6101b87106e96e0efc1c938690e1f,1
00573dde8addbac780cfa35a55a790fa1aa45178,5
00cb5b91a4acdfaa2f55dc2266e598ff06f9209e,1
00de1146bdcbfb02ed5f0e13fd6b9fe62157c0b2,1
00f087717fbcb44bcd56dbe9477010db40ecb48e,2
010bda01a2a05a02638f256ada2a9acba88de850,3
0118f4bbc13bb2dfa2409f325e395919317d020a,3
0121c786361563c893ef4072cec506690c9dba41,2
0133154cf25bb4d555bc6bd3cbe35aec4a1541ad,2
01422922839397a697d74966770f74375cd53ad2,5
014cd6dae8af47557ca224fe0ba1cbd3de574b5c,4
0157998abecf93326c60928f0f899afebf0baf73,5
01669a0cf123d9efdc66260f88d480fba3f0ef57,4
018b9fe77ac82f6716b41b946b2280357f69949f,2
019e5e5302c91036c734501ff83531d74df23095,2
02084dd15280568e2942bce0e3aad9b7fb65e57f,0
0278482fdadbefc0a959eda682c645a8e74214cc,1
02b855e6e1dfed8845b80885a898a27efe562b9c,4
02d128b9a39ac2e3768ac07c4226670eccabf82b,2
02deb5657eed40b36758fb2cd0acf2f826f0cf56,1
03127018365fe7c2fa63c69f7d12bf12c7eae156,5
03168f1b386cf6b93e39960c0ae79bd872da8cdd,4
03e164b6d5dd5c7aeb0549227fbd4d23fd94e455,1
03f957407089261e5ecd4c7e9f961f5f91647fc3,2
04264dede5458827f043cef7dbab1d617736564f,0
0434b00cfa6e902867cc467460a32ab071e99064,3
04656670c99f3df4e5d322f79a5db90f059d4488,3
048f71bb4d3ca31e6bcdd8f199e16f26a7ccea48,1
04d8aa9f2933d78be43759a2b033e30a3410b46e,2
04e059f7ec5e3f3882044a7c6d68e4e8a4be5b1c,1
051e474a23a47faa7de98b54b86e684949bb0b99,5
05675db4b4dc74a09836eecb03246220166f7295,4
0571a7247e7c237a5b89c784db63e60f49876fd7,1
05767efb993baed78bfe8c87d78a502280635def,0
0578240c7f7b40a0e3e4474cbd36ee9f75e37e45,5
058ffa3ac28a0cd30905a946ca81ccdaf8df88dc,5
05b4d3ecae91e975e37ad306ddc60c11a1b16d1f,4
05b6f0db8424adff2504fcc99f92088365a11ee2,3
05c8e07a0b3c4abc66bd3d1bbe2e6a1eb10922f9,3
06300c0fb2097fe4533935f98070ba151f749870,0
0645a92da4ffb6a99968f1033da4274387de1786,2
065c5525cbe908ead27e54224153581c288a7f85,0
06853237c7cc6a9d97949f769c51af2f82c66dff,3
06b12ae0682b5b0b0c2c211d0b5ac6f909b04276,2
06c1408d71a3af4d42504fe417f8886833cf48e9,2
073397f61ffc69ac797da616b3917cd9b5be9790,1
0800358fececfe13a7895f6dfdd22c0585c64d1d,0
081c4f24547e8300e77f36bde2740972747e84ab,2
082e22c1d28940542fdfbca0d4b7f8d464ee89f4,2
0851c743440bb0bafa222e4bbedfaf2f66ac7209,1
08a74e9d14d7d40f49a837140f0ddf45f9a848f1,4
08c0d80c9459caf43bf0054db17c05327dddff76,2
090403b3a0dd7287d65b9d5b5e5e4dca3729c2a4,3
0908d699b9771b6c79d4c09ac6c3b9ce8f9372d8,5
095dae8cc2babed194c43a2b9ef8b42914e060d2,3
09b940ab1661ea7f7569c47c2664dbdaed12cdbf,2
09e37721985c925e7ee353be92608110a33ebe83,4
0a02a0f55e306cf2a181fea35451611075a6f729,5
0aa4ed8235fae96c79fe8562df1d720c5cbd348e,1
0acb406e103dfac1b81c5f6d022ec10802d5316f,5
0afcd8fa6a96764f5cfb8ef1bb627a4dd463a4d8,2
0b3e1ea48006d77df9eee781b3ce67b94e3459bb,1
0b41f8a975ade21609aaf94381076aa9a9b202ce,1
0b71b195d17c910dc24873125c61086b5e01851b,0
